Fecha;Cantidad
28/02/2019;11
1/03/2019;46
2/03/2019;135
3/03/2019;627
5/03/2019;34
6/03/2019;30
7/03/2019;11
8/03/2019;38
9/03/2019;143
10/03/2019;834
12/03/2019;14
13/03/2019;41
14/03/2019;24
15/03/2019;30
16/03/2019;151
17/03/2019;641
19/03/2019;38
20/03/2019;29
21/03/2019;12
22/03/2019;23
23/03/2019;340
24/03/2019;1293
25/03/2019;1154
27/03/2019;46
28/03/2019;16
29/03/2019;11
30/03/2019;229
31/03/2019;686
2/04/2019;9
3/04/2019;277
4/04/2019;5
5/04/2019;34
6/04/2019;364
7/04/2019;410
9/04/2019;22
10/04/2019;19
11/04/2019;40
12/04/2019;17
13/04/2019;142
14/04/2019;499
15/04/2019;178
16/04/2019;455
17/04/2019;789
18/04/2019;736
19/04/2019;978
20/04/2019;947
21/04/2019;277
23/04/2019;79
24/04/2019;22
25/04/2019;48
26/04/2019;92
27/04/2019;233
28/04/2019;388
30/04/2019;72
1/05/2019;918
2/05/2019;49
3/05/2019;432
4/05/2019;329
5/05/2019;572
7/05/2019;44
8/05/2019;11
9/05/2019;25
10/05/2019;8
11/05/2019;185
12/05/2019;356
14/05/2019;26
15/05/2019;43
16/05/2019;32
17/05/2019;546
18/05/2019;145
19/05/2019;592
21/05/2019;39
22/05/2019;48
23/05/2019;461
24/05/2019;89
25/05/2019;123
26/05/2019;641
27/05/2019;46
28/05/2019;57
29/05/2019;432
30/05/2019;332
31/05/2019;355
1/06/2019;172
2/06/2019;966
3/06/2019;691
4/06/2019;378
5/06/2019;432
6/06/2019;487
7/06/2019;433
8/06/2019;588
9/06/2019;983
11/06/2019;128
12/06/2019;114
13/06/2019;103
14/06/2019;125
15/06/2019;276
16/06/2019;746
17/06/2019;69
18/06/2019;168
19/06/2019;351
20/06/2019;212
21/06/2019;287
22/06/2019;976
23/06/2019;1720
24/06/2019;1083
25/06/2019;118
26/06/2019;416
27/06/2019;429
28/06/2019;355
29/06/2019;741
30/06/2019;1971
1/07/2019;1134
3/07/2019;186
4/07/2019;209
5/07/2019;203
6/07/2019;312
7/07/2019;914
9/07/2019;53
10/07/2019;168
11/07/2019;117
12/07/2019;196
13/07/2019;390
14/07/2019;1149
16/07/2019;64
17/07/2019;128
18/07/2019;68
19/07/2019;317
20/07/2019;1050
21/07/2019;1024
23/07/2019;287
24/07/2019;624
25/07/2019;289
26/07/2019;354
27/07/2019;419
28/07/2019;1297
30/07/2019;136
31/07/2019;39
1/08/2019;39
2/08/2019;25
3/08/2019;259
4/08/2019;752
5/08/2019;426
6/08/2019;552
7/08/2019;1147
8/08/2019;168
9/08/2019;437
10/08/2019;458
11/08/2019;597
13/08/2019;502
14/08/2019;385
15/08/2019;436
16/08/2019;425
17/08/2019;254
18/08/2019;1409
19/08/2019;846
20/08/2019;347
21/08/2019;490
22/08/2019;316
23/08/2019;466
24/08/2019;289
25/08/2019;767
27/08/2019;106
28/08/2019;224
29/08/2019;86
30/08/2019;391
31/08/2019;348
1/09/2019;771
3/09/2019;50
4/09/2019;62
5/09/2019;237
6/09/2019;667
7/09/2019;437
8/09/2019;765
9/09/2019;28
10/09/2019;429
11/09/2019;319
12/09/2019;54
13/09/2019;120
14/09/2019;323
15/09/2019;826
17/09/2019;363
18/09/2019;41
19/09/2019;18
20/09/2019;284
21/09/2019;452
22/09/2019;720
24/09/2019;55
25/09/2019;466
26/09/2019;324
27/09/2019;374
28/09/2019;255
29/09/2019;537
1/10/2019;56
2/10/2019;24
3/10/2019;57
4/10/2019;108
5/10/2019;287
6/10/2019;538
7/10/2019;77
8/10/2019;251
9/10/2019;461
10/10/2019;850
11/10/2019;420
12/10/2019;553
13/10/2019;1457
14/10/2019;682
16/10/2019;74
17/10/2019;47
18/10/2019;77
19/10/2019;359
20/10/2019;532
22/10/2019;33
23/10/2019;57
24/10/2019;37
25/10/2019;169
26/10/2019;420
27/10/2019;196
29/10/2019;36
30/10/2019;49
31/10/2019;35
1/11/2019;100
2/11/2019;426
3/11/2019;1314
4/11/2019;681
6/11/2019;82
7/11/2019;37
8/11/2019;36
9/11/2019;121
10/11/2019;1134
11/11/2019;654
13/11/2019;47
14/11/2019;52
15/11/2019;257
16/11/2019;301
19/11/2019;89
20/11/2019;18
21/11/2019;44
22/11/2019;214
23/11/2019;577
24/11/2019;563
26/11/2019;165
27/11/2019;171
28/11/2019;92
29/11/2019;187
30/11/2019;260
1/12/2019;637
3/12/2019;140
4/12/2019;176
5/12/2019;66
6/12/2019;643
7/12/2019;305
8/12/2019;420
9/12/2019;366
10/12/2019;229
11/12/2019;210
12/12/2019;571
13/12/2019;617
14/12/2019;929
15/12/2019;911
16/12/2019;108
17/12/2019;298
18/12/2019;171
19/12/2019;239
20/12/2019;258
21/12/2019;532
22/12/2019;773
23/12/2019;199
26/12/2019;465
27/12/2019;573
28/12/2019;661
29/12/2019;1194
30/12/2019;277
2/01/2020;701
3/01/2020;841
4/01/2020;885
5/01/2020;1422
6/01/2020;858
7/01/2020;258
8/01/2020;546
9/01/2020;434
10/01/2020;446
11/01/2020;644
12/01/2020;1100
14/01/2020;258
15/01/2020;272
16/01/2020;227
17/01/2020;239
18/01/2020;604
19/01/2020;948
21/01/2020;125
22/01/2020;29
23/01/2020;83
24/01/2020;89
25/01/2020;404
26/01/2020;908
28/01/2020;47
29/01/2020;51
30/01/2020;83
31/01/2020;87
1/02/2020;355
2/02/2020;767
4/02/2020;56
5/02/2020;77
6/02/2020;52
7/02/2020;51
8/02/2020;931
9/02/2020;722
11/02/2020;37
12/02/2020;67
13/02/2020;39
14/02/2020;13
15/02/2020;131
16/02/2020;480
18/02/2020;97
19/02/2020;77
20/02/2020;18
21/02/2020;64
22/02/2020;171
23/02/2020;671
25/02/2020;21
26/02/2020;56
27/02/2020;30
28/02/2020;42
29/02/2020;382
1/03/2020;446
3/03/2020;32
4/03/2020;72
5/03/2020;22
6/03/2020;39
7/03/2020;343
8/03/2020;384
