FechaHora;Cantidad;;;;;;;;;;;;;;
7/01/2017 12:35:51 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:37:07 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:37:15 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:38:15 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:39:50 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:42:59 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:43:03 p. m.;3;;;;;;;;;;;;;;
7/01/2017 12:45:26 p. m.;2;;;;;;;;;;;;;;
7/01/2017 12:48:10 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:48:12 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:48:48 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:51:54 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:52:02 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:54:25 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:54:43 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:55:01 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:56:25 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:59:55 p. m.;3;;;;;;;;;;;;;;
7/01/2017 1:00:34 p. m.;1;;;;;;;;;;;;;;
7/01/2017 1:02:07 p. m.;1;;;;;;;;;;;;;;
7/01/2017 1:06:27 p. m.;1;;;;;;;;;;;;;;
7/01/2017 1:36:17 p. m.;3;;;;;;;;;;;;;;
7/01/2017 1:37:13 p. m.;4;;;;;;;;;;;;;;
7/01/2017 1:58:26 p. m.;2;;;;;;;;;;;;;;
7/01/2017 1:59:18 p. m.;1;;;;;;;;;;;;;;
7/01/2017 2:04:14 p. m.;1;;;;;;;;;;;;;;
7/01/2017 2:05:13 p. m.;1;;;;;;;;;;;;;;
7/01/2017 2:10:45 p. m.;3;;;;;;;;;;;;;;
7/01/2017 2:14:59 p. m.;1;;;;;;;;;;;;;;
7/01/2017 2:15:01 p. m.;1;;;;;;;;;;;;;;
7/01/2017 2:15:01 p. m.;1;;;;;;;;;;;;;;
7/01/2017 2:17:24 p. m.;2;;;;;;;;;;;;;;
7/01/2017 2:17:55 p. m.;1;;;;;;;;;;;;;;
7/01/2017 2:21:06 p. m.;2;;;;;;;;;;;;;;
7/01/2017 2:24:24 p. m.;2;;;;;;;;;;;;;;
7/01/2017 2:25:26 p. m.;1;;;;;;;;;;;;;;
7/01/2017 2:26:00 p. m.;2;;;;;;;;;;;;;;
7/01/2017 2:30:37 p. m.;1;;;;;;;;;;;;;;
7/01/2017 2:39:24 p. m.;3;;;;;;;;;;;;;;
7/01/2017 2:40:09 p. m.;1;;;;;;;;;;;;;;
7/01/2017 2:43:06 p. m.;1;;;;;;;;;;;;;;
7/01/2017 2:44:18 p. m.;2;;;;;;;;;;;;;;
7/01/2017 2:45:28 p. m.;1;;;;;;;;;;;;;;
7/01/2017 2:47:34 p. m.;1;;;;;;;;;;;;;;
7/01/2017 2:49:49 p. m.;2;;;;;;;;;;;;;;
7/01/2017 2:50:27 p. m.;1;;;;;;;;;;;;;;
7/01/2017 4:04:46 p. m.;1;;;;;;;;;;;;;;
7/01/2017 4:04:46 p. m.;1;;;;;;;;;;;;;;
7/01/2017 4:05:20 p. m.;1;;;;;;;;;;;;;;
7/01/2017 4:06:03 p. m.;5;;;;;;;;;;;;;;
7/01/2017 4:07:53 p. m.;5;;;;;;;;;;;;;;
7/01/2017 4:38:32 p. m.;1;;;;;;;;;;;;;;
7/01/2017 4:39:07 p. m.;1;;;;;;;;;;;;;;
8/01/2017 7:59:49 a. m.;1;;;;;;;;;;;;;;
8/01/2017 8:01:35 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:05:15 a. m.;2;;;;;;;;;;;;;;
8/01/2017 9:05:52 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:06:33 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:10:02 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:10:02 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:14:12 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:14:13 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:14:13 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:15:36 a. m.;2;;;;;;;;;;;;;;
8/01/2017 9:23:59 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:24:13 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:24:21 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:26:00 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:27:31 a. m.;4;;;;;;;;;;;;;;
8/01/2017 9:28:10 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:28:11 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:28:27 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:28:46 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:28:58 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:28:58 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:28:58 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:29:11 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:29:11 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:29:11 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:29:12 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:33:09 a. m.;2;;;;;;;;;;;;;;
8/01/2017 9:38:56 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:38:56 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:43:56 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:43:56 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:49:38 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:49:57 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:50:10 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:52:03 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:54:21 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:54:36 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:54:43 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:54:48 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:57:16 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:57:16 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:58:01 a. m.;1;;;;;;;;;;;;;;
8/01/2017 9:59:20 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:00:19 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:01:08 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:02:40 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:02:40 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:02:40 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:03:15 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:05:12 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:05:57 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:06:32 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:08:48 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:09:23 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:12:12 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:12:28 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:13:19 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:14:55 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:15:50 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:16:00 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:16:11 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:17:45 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:17:59 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:17:59 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:19:00 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:20:36 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:21:03 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:21:37 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:27:23 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:27:23 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:27:23 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:31:07 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:31:42 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:33:24 a. m.;2;;;;;;;;;;;;;;
8/01/2017 10:34:01 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:35:03 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:36:59 a. m.;2;;;;;;;;;;;;;;
8/01/2017 10:38:33 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:38:33 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:39:14 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:40:14 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:44:42 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:45:57 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:50:31 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:50:31 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:51:32 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:53:34 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:53:39 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:54:01 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:54:18 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:54:42 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:54:43 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:54:44 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:54:45 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:55:29 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:57:56 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:58:32 a. m.;1;;;;;;;;;;;;;;
8/01/2017 10:59:41 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:00:33 a. m.;-1;;;;;;;;;;;;;;
8/01/2017 11:01:16 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:01:46 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:04:03 a. m.;2;;;;;;;;;;;;;;
8/01/2017 11:04:37 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:07:11 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:10:30 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:14:13 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:16:26 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:17:10 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:17:11 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:19:46 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:19:53 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:20:58 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:20:58 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:22:14 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:30:39 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:30:49 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:37:38 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:38:25 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:39:17 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:39:34 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:39:43 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:41:16 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:41:44 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:42:47 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:43:22 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:44:08 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:45:21 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:53:07 a. m.;3;;;;;;;;;;;;;;
8/01/2017 11:54:01 a. m.;1;;;;;;;;;;;;;;
8/01/2017 11:55:29 a. m.;2;;;;;;;;;;;;;;
8/01/2017 11:56:02 a. m.;2;;;;;;;;;;;;;;
8/01/2017 11:58:42 a. m.;2;;;;;;;;;;;;;;
8/01/2017 11:59:24 a. m.;2;;;;;;;;;;;;;;
8/01/2017 12:01:01 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:01:51 p. m.;3;;;;;;;;;;;;;;
8/01/2017 12:02:11 p. m.;2;;;;;;;;;;;;;;
8/01/2017 12:03:10 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:05:37 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:06:07 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:06:22 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:07:47 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:08:38 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:09:24 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:09:25 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:09:25 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:09:38 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:10:56 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:11:09 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:11:52 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:12:44 p. m.;2;;;;;;;;;;;;;;
8/01/2017 12:12:51 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:14:29 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:15:09 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:15:09 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:15:09 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:16:00 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:16:10 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:19:02 p. m.;4;;;;;;;;;;;;;;
8/01/2017 12:19:40 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:21:38 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:21:38 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:21:50 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:27:14 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:27:15 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:28:36 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:29:11 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:29:58 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:30:55 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:31:08 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:31:46 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:32:02 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:33:30 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:33:44 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:33:58 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:33:59 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:34:53 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:34:54 p. m.;1;;;;;;;;;;;;;;
8/01/2017 12:35:29 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:16:47 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:17:08 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:17:13 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:18:37 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:19:20 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:19:21 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:19:24 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:21:45 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:21:59 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:23:06 p. m.;3;;;;;;;;;;;;;;
8/01/2017 1:23:44 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:25:42 p. m.;2;;;;;;;;;;;;;;
8/01/2017 1:25:59 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:26:00 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:26:01 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:26:12 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:30:46 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:32:35 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:32:35 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:32:36 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:32:36 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:33:33 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:35:31 p. m.;11;;;;;;;;;;;;;;
8/01/2017 1:35:57 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:36:16 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:39:24 p. m.;2;;;;;;;;;;;;;;
8/01/2017 1:41:31 p. m.;3;;;;;;;;;;;;;;
8/01/2017 1:42:09 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:42:09 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:42:10 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:42:24 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:43:01 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:43:41 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:44:46 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:45:00 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:45:01 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:45:19 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:45:48 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:46:30 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:50:47 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:51:03 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:51:17 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:51:31 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:51:32 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:51:33 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:56:08 p. m.;2;;;;;;;;;;;;;;
8/01/2017 1:57:43 p. m.;1;;;;;;;;;;;;;;
8/01/2017 1:57:52 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:00:43 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:02:27 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:02:27 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:03:37 p. m.;2;;;;;;;;;;;;;;
8/01/2017 2:05:32 p. m.;2;;;;;;;;;;;;;;
8/01/2017 2:06:27 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:08:42 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:09:22 p. m.;2;;;;;;;;;;;;;;
8/01/2017 2:11:49 p. m.;3;;;;;;;;;;;;;;
8/01/2017 2:18:00 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:18:01 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:18:02 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:18:24 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:19:24 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:20:10 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:20:10 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:20:10 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:20:11 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:26:14 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:26:15 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:27:23 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:28:19 p. m.;2;;;;;;;;;;;;;;
8/01/2017 2:29:35 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:29:35 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:29:35 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:30:56 p. m.;2;;;;;;;;;;;;;;
8/01/2017 2:34:35 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:34:56 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:53:43 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:54:02 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:54:24 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:55:57 p. m.;5;;;;;;;;;;;;;;
8/01/2017 2:58:27 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:58:35 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:58:47 p. m.;1;;;;;;;;;;;;;;
8/01/2017 2:59:34 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:03:20 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:03:56 p. m.;2;;;;;;;;;;;;;;
8/01/2017 3:07:02 p. m.;2;;;;;;;;;;;;;;
8/01/2017 3:07:38 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:09:12 p. m.;3;;;;;;;;;;;;;;
8/01/2017 3:10:09 p. m.;3;;;;;;;;;;;;;;
8/01/2017 3:11:12 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:11:13 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:11:13 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:11:13 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:12:37 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:13:21 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:14:10 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:14:10 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:14:26 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:14:41 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:17:16 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:17:50 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:19:00 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:19:48 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:23:25 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:26:26 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:26:27 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:28:40 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:28:42 p. m.;3;;;;;;;;;;;;;;
8/01/2017 3:30:12 p. m.;2;;;;;;;;;;;;;;
8/01/2017 3:38:10 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:38:23 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:38:37 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:38:50 p. m.;1;;;;;;;;;;;;;;
8/01/2017 3:42:41 p. m.;2;;;;;;;;;;;;;;
8/01/2017 3:43:14 p. m.;1;;;;;;;;;;;;;;
