FechaHora;Cantidad
4/01/2018 11:27:54 a. m.;1
4/01/2018 11:27:55 a. m.;1
4/01/2018 11:28:27 a. m.;1
4/01/2018 11:29:45 a. m.;1
4/01/2018 11:29:46 a. m.;1
4/01/2018 11:29:47 a. m.;1
4/01/2018 11:34:15 a. m.;1
4/01/2018 11:34:15 a. m.;1
4/01/2018 11:34:16 a. m.;1
4/01/2018 11:34:16 a. m.;1
4/01/2018 11:34:16 a. m.;1
4/01/2018 11:44:38 a. m.;1
4/01/2018 11:44:49 a. m.;1
4/01/2018 11:51:25 a. m.;1
4/01/2018 11:51:41 a. m.;1
4/01/2018 11:55:18 a. m.;1
4/01/2018 11:55:35 a. m.;2
4/01/2018 11:56:23 a. m.;1
4/01/2018 11:57:10 a. m.;1
4/01/2018 11:57:20 a. m.;1
4/01/2018 11:58:13 a. m.;1
4/01/2018 11:58:14 a. m.;1
4/01/2018 11:58:14 a. m.;1
4/01/2018 11:58:14 a. m.;1
4/01/2018 11:58:53 a. m.;1
4/01/2018 12:00:40 p. m.;2
4/01/2018 12:03:08 p. m.;1
4/01/2018 12:03:08 p. m.;1
4/01/2018 12:03:10 p. m.;1
4/01/2018 12:04:21 p. m.;1
4/01/2018 12:04:55 p. m.;1
4/01/2018 12:05:16 p. m.;1
4/01/2018 12:05:17 p. m.;1
4/01/2018 12:06:39 p. m.;1
4/01/2018 12:06:49 p. m.;2
4/01/2018 12:07:55 p. m.;1
4/01/2018 12:07:57 p. m.;1
4/01/2018 12:09:28 p. m.;1
4/01/2018 12:09:40 p. m.;1
4/01/2018 12:10:34 p. m.;1
4/01/2018 12:10:34 p. m.;1
4/01/2018 12:10:35 p. m.;1
4/01/2018 12:15:51 p. m.;3
4/01/2018 12:16:07 p. m.;2
4/01/2018 12:16:47 p. m.;1
4/01/2018 12:17:09 p. m.;1
4/01/2018 12:18:20 p. m.;1
4/01/2018 12:19:23 p. m.;1
4/01/2018 12:19:24 p. m.;1
4/01/2018 12:19:40 p. m.;1
4/01/2018 12:19:59 p. m.;1
4/01/2018 12:21:09 p. m.;1
4/01/2018 12:21:22 p. m.;1
4/01/2018 12:21:22 p. m.;1
4/01/2018 12:24:09 p. m.;2
4/01/2018 12:24:28 p. m.;2
4/01/2018 12:25:37 p. m.;1
4/01/2018 12:25:51 p. m.;3
4/01/2018 12:27:21 p. m.;2
4/01/2018 12:29:08 p. m.;3
4/01/2018 12:29:29 p. m.;1
4/01/2018 12:29:32 p. m.;1
4/01/2018 12:31:11 p. m.;1
4/01/2018 12:31:13 p. m.;1
4/01/2018 12:32:35 p. m.;1
4/01/2018 12:32:36 p. m.;1
4/01/2018 12:34:02 p. m.;4
4/01/2018 12:34:25 p. m.;1
4/01/2018 12:36:07 p. m.;1
4/01/2018 12:36:07 p. m.;1
4/01/2018 12:36:08 p. m.;1
4/01/2018 12:36:08 p. m.;1
4/01/2018 12:36:38 p. m.;1
4/01/2018 12:36:56 p. m.;2
4/01/2018 12:37:54 p. m.;1
4/01/2018 12:37:54 p. m.;1
4/01/2018 12:37:55 p. m.;1
4/01/2018 12:38:51 p. m.;1
4/01/2018 12:40:10 p. m.;1
4/01/2018 1:42:25 p. m.;1
4/01/2018 1:42:58 p. m.;1
4/01/2018 1:43:33 p. m.;1
4/01/2018 1:43:54 p. m.;1
4/01/2018 1:50:22 p. m.;1
4/01/2018 1:50:44 p. m.;1
4/01/2018 1:50:44 p. m.;1
4/01/2018 1:50:45 p. m.;1
4/01/2018 1:51:19 p. m.;1
4/01/2018 2:15:30 p. m.;1
4/01/2018 2:15:30 p. m.;1
4/01/2018 2:15:32 p. m.;1
4/01/2018 2:35:19 p. m.;3
4/01/2018 2:35:51 p. m.;1
4/01/2018 2:35:55 p. m.;1
4/01/2018 2:38:39 p. m.;3
4/01/2018 2:39:25 p. m.;4
4/01/2018 2:39:35 p. m.;2
4/01/2018 2:42:38 p. m.;1
4/01/2018 2:42:39 p. m.;1
4/01/2018 2:42:39 p. m.;1
4/01/2018 2:42:39 p. m.;1
4/01/2018 2:43:00 p. m.;1
4/01/2018 2:43:59 p. m.;1
4/01/2018 2:44:13 p. m.;1
4/01/2018 2:44:18 p. m.;1
4/01/2018 2:45:10 p. m.;1
4/01/2018 2:46:22 p. m.;1
4/01/2018 2:46:22 p. m.;1
4/01/2018 2:46:23 p. m.;1
4/01/2018 2:47:43 p. m.;1
4/01/2018 2:48:04 p. m.;1
4/01/2018 2:48:13 p. m.;1
4/01/2018 2:52:06 p. m.;1
4/01/2018 2:52:25 p. m.;1
4/01/2018 2:53:17 p. m.;1
4/01/2018 2:54:07 p. m.;1
4/01/2018 2:54:17 p. m.;1
4/01/2018 2:54:58 p. m.;2
4/01/2018 2:56:17 p. m.;2
4/01/2018 2:56:31 p. m.;1
4/01/2018 3:00:20 p. m.;1
4/01/2018 3:03:11 p. m.;2
4/01/2018 3:03:33 p. m.;1
4/01/2018 3:10:08 p. m.;1
4/01/2018 3:10:37 p. m.;1
4/01/2018 3:11:34 p. m.;3
4/01/2018 3:12:01 p. m.;8
4/01/2018 3:17:50 p. m.;1
4/01/2018 3:21:08 p. m.;-1
4/01/2018 3:21:08 p. m.;-1
5/01/2018 10:34:31 a. m.;1
5/01/2018 10:35:48 a. m.;1
5/01/2018 10:37:21 a. m.;1
5/01/2018 10:38:03 a. m.;1
5/01/2018 10:38:50 a. m.;1
5/01/2018 10:39:09 a. m.;1
5/01/2018 10:39:33 a. m.;1
5/01/2018 10:41:24 a. m.;1
5/01/2018 10:41:35 a. m.;1
5/01/2018 10:41:55 a. m.;2
5/01/2018 10:43:00 a. m.;1
5/01/2018 10:43:21 a. m.;1
5/01/2018 10:43:36 a. m.;1
5/01/2018 10:44:01 a. m.;1
5/01/2018 10:44:23 a. m.;1
5/01/2018 10:44:33 a. m.;1
5/01/2018 10:46:23 a. m.;4
5/01/2018 10:47:46 a. m.;1
5/01/2018 10:47:47 a. m.;1
5/01/2018 10:48:10 a. m.;2
5/01/2018 10:51:23 a. m.;1
5/01/2018 10:51:23 a. m.;1
5/01/2018 10:51:24 a. m.;1
5/01/2018 10:51:52 a. m.;1
5/01/2018 10:53:08 a. m.;1
5/01/2018 10:53:09 a. m.;1
5/01/2018 10:53:09 a. m.;1
5/01/2018 10:53:10 a. m.;1
5/01/2018 10:54:12 a. m.;1
5/01/2018 10:54:13 a. m.;1
5/01/2018 10:54:14 a. m.;1
5/01/2018 10:54:44 a. m.;1
5/01/2018 10:54:46 a. m.;1
5/01/2018 10:55:52 a. m.;1
5/01/2018 10:56:16 a. m.;1
5/01/2018 10:56:39 a. m.;2
5/01/2018 10:56:52 a. m.;1
5/01/2018 10:57:51 a. m.;1
5/01/2018 10:58:43 a. m.;1
5/01/2018 10:58:44 a. m.;1
5/01/2018 10:58:45 a. m.;1
5/01/2018 10:59:39 a. m.;1
5/01/2018 10:59:41 a. m.;1
5/01/2018 10:59:41 a. m.;1
5/01/2018 11:02:46 a. m.;1
5/01/2018 11:03:32 a. m.;1
5/01/2018 11:04:37 a. m.;1
5/01/2018 11:06:11 a. m.;1
5/01/2018 11:07:00 a. m.;1
5/01/2018 11:07:01 a. m.;1
5/01/2018 11:07:48 a. m.;1
5/01/2018 11:19:58 a. m.;1
5/01/2018 11:20:56 a. m.;1
5/01/2018 11:21:46 a. m.;1
5/01/2018 11:21:47 a. m.;1
5/01/2018 11:22:12 a. m.;1
5/01/2018 11:23:11 a. m.;1
5/01/2018 11:23:28 a. m.;4
5/01/2018 11:25:16 a. m.;3
5/01/2018 11:25:38 a. m.;3
5/01/2018 11:27:28 a. m.;1
5/01/2018 11:27:57 a. m.;1
5/01/2018 11:29:34 a. m.;1
5/01/2018 11:30:56 a. m.;1
5/01/2018 11:31:31 a. m.;1
5/01/2018 11:32:01 a. m.;1
5/01/2018 11:38:51 a. m.;1
5/01/2018 11:43:05 a. m.;2
5/01/2018 11:43:25 a. m.;2
5/01/2018 11:45:20 a. m.;1
5/01/2018 11:45:22 a. m.;1
5/01/2018 11:46:12 a. m.;1
5/01/2018 11:51:48 a. m.;1
5/01/2018 11:52:05 a. m.;1
5/01/2018 11:55:10 a. m.;1
5/01/2018 11:55:49 a. m.;1
5/01/2018 11:56:12 a. m.;1
5/01/2018 11:56:12 a. m.;1
5/01/2018 12:01:13 p. m.;1
5/01/2018 12:01:14 p. m.;1
5/01/2018 12:02:03 p. m.;5
5/01/2018 12:02:27 p. m.;4
5/01/2018 12:02:51 p. m.;1
5/01/2018 12:04:45 p. m.;1
5/01/2018 12:05:06 p. m.;1
5/01/2018 12:05:36 p. m.;1
5/01/2018 12:06:23 p. m.;1
5/01/2018 12:06:48 p. m.;2
5/01/2018 12:07:44 p. m.;1
5/01/2018 12:08:04 p. m.;1
5/01/2018 12:08:32 p. m.;1
5/01/2018 12:09:32 p. m.;1
5/01/2018 12:09:32 p. m.;1
5/01/2018 12:10:26 p. m.;1
5/01/2018 12:10:50 p. m.;4
5/01/2018 12:11:23 p. m.;1
5/01/2018 12:13:13 p. m.;1
5/01/2018 12:13:49 p. m.;1
5/01/2018 12:14:00 p. m.;2
5/01/2018 12:14:23 p. m.;1
5/01/2018 12:15:47 p. m.;1
5/01/2018 12:15:55 p. m.;1
5/01/2018 12:16:00 p. m.;1
5/01/2018 12:16:01 p. m.;1
5/01/2018 12:16:23 p. m.;1
5/01/2018 12:17:15 p. m.;1
5/01/2018 12:17:40 p. m.;1
5/01/2018 12:18:29 p. m.;1
5/01/2018 12:18:32 p. m.;1
5/01/2018 12:18:52 p. m.;1
5/01/2018 12:19:47 p. m.;1
5/01/2018 12:19:58 p. m.;1
5/01/2018 12:20:57 p. m.;1
5/01/2018 12:20:58 p. m.;1
5/01/2018 12:21:55 p. m.;2
5/01/2018 12:24:57 p. m.;1
5/01/2018 12:25:51 p. m.;1
5/01/2018 12:28:18 p. m.;1
5/01/2018 12:29:51 p. m.;1
5/01/2018 12:29:53 p. m.;1
5/01/2018 12:30:01 p. m.;1
5/01/2018 12:30:16 p. m.;1
5/01/2018 12:31:38 p. m.;1
5/01/2018 12:34:05 p. m.;1
5/01/2018 12:34:10 p. m.;1
5/01/2018 12:34:52 p. m.;1
5/01/2018 12:35:04 p. m.;1
5/01/2018 12:35:51 p. m.;1
5/01/2018 12:35:56 p. m.;1
5/01/2018 12:36:15 p. m.;3
5/01/2018 2:04:24 p. m.;1
5/01/2018 2:04:39 p. m.;3
5/01/2018 2:07:43 p. m.;1
5/01/2018 2:07:43 p. m.;1
5/01/2018 2:07:44 p. m.;1
5/01/2018 2:08:03 p. m.;1
5/01/2018 2:21:33 p. m.;2
5/01/2018 2:26:34 p. m.;2
5/01/2018 2:28:29 p. m.;1
5/01/2018 2:38:22 p. m.;1
5/01/2018 2:38:49 p. m.;1
5/01/2018 2:40:45 p. m.;1
5/01/2018 2:40:45 p. m.;1
5/01/2018 2:40:46 p. m.;1
5/01/2018 2:40:46 p. m.;1
5/01/2018 2:41:55 p. m.;1
5/01/2018 2:45:53 p. m.;1
5/01/2018 2:57:48 p. m.;1
5/01/2018 2:57:51 p. m.;1
5/01/2018 2:57:53 p. m.;1
5/01/2018 3:03:11 p. m.;4
5/01/2018 3:04:27 p. m.;2
5/01/2018 3:06:23 p. m.;1
5/01/2018 3:06:26 p. m.;1
5/01/2018 3:06:36 p. m.;1
5/01/2018 3:09:43 p. m.;2
5/01/2018 3:11:16 p. m.;1
5/01/2018 3:11:18 p. m.;1
5/01/2018 3:13:04 p. m.;1
5/01/2018 3:15:36 p. m.;2
5/01/2018 3:17:13 p. m.;1
5/01/2018 3:17:15 p. m.;1
5/01/2018 3:25:47 p. m.;1
5/01/2018 4:05:21 p. m.;2
6/01/2018 9:03:38 a. m.;1
6/01/2018 9:03:44 a. m.;1
6/01/2018 9:04:06 a. m.;1
6/01/2018 9:04:08 a. m.;1
6/01/2018 9:05:13 a. m.;1
6/01/2018 9:05:13 a. m.;1
6/01/2018 9:05:14 a. m.;1
6/01/2018 9:05:14 a. m.;1
6/01/2018 9:06:14 a. m.;1
6/01/2018 9:07:12 a. m.;1
6/01/2018 9:07:14 a. m.;1
6/01/2018 9:08:07 a. m.;1
6/01/2018 9:09:04 a. m.;1
6/01/2018 9:10:12 a. m.;1
6/01/2018 9:10:36 a. m.;1
6/01/2018 9:10:49 a. m.;1
6/01/2018 9:11:15 a. m.;1
6/01/2018 9:12:40 a. m.;1
6/01/2018 9:13:00 a. m.;1
6/01/2018 9:13:14 a. m.;1
6/01/2018 9:13:41 a. m.;1
6/01/2018 9:14:37 a. m.;2
6/01/2018 9:14:55 a. m.;1
6/01/2018 9:15:57 a. m.;1
6/01/2018 9:45:55 a. m.;1
6/01/2018 9:47:13 a. m.;1
6/01/2018 9:48:04 a. m.;2
6/01/2018 9:49:02 a. m.;1
6/01/2018 9:49:04 a. m.;1
6/01/2018 9:51:13 a. m.;1
6/01/2018 9:51:15 a. m.;1
6/01/2018 9:57:40 a. m.;1
6/01/2018 9:58:00 a. m.;1
6/01/2018 9:58:01 a. m.;1
6/01/2018 9:58:29 a. m.;1
6/01/2018 9:59:33 a. m.;1
6/01/2018 10:11:16 a. m.;1
6/01/2018 10:11:38 a. m.;1
6/01/2018 10:14:09 a. m.;1
6/01/2018 10:14:10 a. m.;1
6/01/2018 10:14:14 a. m.;1
6/01/2018 10:14:56 a. m.;1
6/01/2018 10:15:25 a. m.;1
6/01/2018 10:15:28 a. m.;1
6/01/2018 10:15:51 a. m.;1
6/01/2018 10:16:10 a. m.;1
6/01/2018 10:16:28 a. m.;1
6/01/2018 10:17:54 a. m.;1
6/01/2018 10:18:10 a. m.;1
6/01/2018 10:18:11 a. m.;1
6/01/2018 10:19:11 a. m.;1
6/01/2018 10:19:12 a. m.;1
6/01/2018 10:20:16 a. m.;1
6/01/2018 10:20:32 a. m.;1
6/01/2018 10:20:34 a. m.;1
6/01/2018 10:22:22 a. m.;1
6/01/2018 10:22:25 a. m.;1
6/01/2018 10:22:28 a. m.;1
6/01/2018 10:22:46 a. m.;1
6/01/2018 10:23:02 a. m.;1
6/01/2018 10:56:34 a. m.;3
6/01/2018 10:57:00 a. m.;3
6/01/2018 11:13:01 a. m.;1
6/01/2018 11:13:34 a. m.;1
6/01/2018 11:13:35 a. m.;1
6/01/2018 11:15:39 a. m.;1
6/01/2018 11:17:00 a. m.;1
6/01/2018 11:17:02 a. m.;1
6/01/2018 11:17:05 a. m.;1
6/01/2018 11:17:11 a. m.;1
6/01/2018 11:17:12 a. m.;1
6/01/2018 11:17:13 a. m.;1
6/01/2018 11:19:31 a. m.;1
6/01/2018 11:20:29 a. m.;1
6/01/2018 11:20:58 a. m.;1
6/01/2018 11:23:01 a. m.;1
6/01/2018 11:23:49 a. m.;1
6/01/2018 11:26:43 a. m.;1
6/01/2018 11:26:47 a. m.;1
6/01/2018 11:26:50 a. m.;1
6/01/2018 11:26:52 a. m.;1
6/01/2018 11:27:04 a. m.;1
6/01/2018 11:27:20 a. m.;1
6/01/2018 11:29:14 a. m.;1
6/01/2018 11:29:15 a. m.;1
6/01/2018 11:29:32 a. m.;1
6/01/2018 11:30:08 a. m.;1
6/01/2018 11:31:51 a. m.;1
6/01/2018 11:31:54 a. m.;1
6/01/2018 11:31:55 a. m.;1
6/01/2018 11:33:30 a. m.;1
6/01/2018 11:37:48 a. m.;1
6/01/2018 11:39:20 a. m.;1
6/01/2018 11:39:22 a. m.;1
6/01/2018 11:39:43 a. m.;1
6/01/2018 11:46:09 a. m.;1
6/01/2018 11:46:12 a. m.;1
6/01/2018 11:46:37 a. m.;1
6/01/2018 11:47:06 a. m.;1
6/01/2018 11:48:34 a. m.;1
6/01/2018 11:48:59 a. m.;1
6/01/2018 11:49:00 a. m.;1
6/01/2018 11:49:38 a. m.;1
6/01/2018 11:49:57 a. m.;1
6/01/2018 11:50:39 a. m.;1
6/01/2018 11:52:07 a. m.;1
6/01/2018 11:52:34 a. m.;1
6/01/2018 11:53:59 a. m.;1
6/01/2018 11:54:05 a. m.;1
6/01/2018 11:55:47 a. m.;1
6/01/2018 11:56:15 a. m.;1
6/01/2018 11:57:07 a. m.;1
6/01/2018 11:58:22 a. m.;1
6/01/2018 12:02:26 p. m.;1
6/01/2018 12:04:45 p. m.;1
6/01/2018 12:05:54 p. m.;1
6/01/2018 12:06:30 p. m.;1
6/01/2018 12:06:53 p. m.;1
6/01/2018 12:07:56 p. m.;1
6/01/2018 12:08:14 p. m.;1
6/01/2018 12:10:45 p. m.;1
6/01/2018 12:11:09 p. m.;1
6/01/2018 12:11:13 p. m.;1
6/01/2018 12:11:34 p. m.;2
6/01/2018 12:12:34 p. m.;1
6/01/2018 12:13:53 p. m.;1
6/01/2018 12:16:07 p. m.;1
6/01/2018 12:17:29 p. m.;1
6/01/2018 12:17:36 p. m.;1
6/01/2018 12:18:36 p. m.;1
6/01/2018 12:19:37 p. m.;1
6/01/2018 12:19:55 p. m.;1
6/01/2018 12:19:58 p. m.;1
6/01/2018 12:20:20 p. m.;1
6/01/2018 12:21:11 p. m.;2
6/01/2018 12:21:31 p. m.;1
6/01/2018 12:21:31 p. m.;1
6/01/2018 12:21:46 p. m.;1
6/01/2018 12:22:38 p. m.;1
6/01/2018 12:24:17 p. m.;1
6/01/2018 12:25:15 p. m.;1
6/01/2018 12:26:27 p. m.;1
6/01/2018 12:27:32 p. m.;1
6/01/2018 12:28:01 p. m.;1
6/01/2018 12:28:58 p. m.;2
6/01/2018 12:29:28 p. m.;2
6/01/2018 12:30:25 p. m.;1
6/01/2018 12:31:00 p. m.;3
6/01/2018 12:34:09 p. m.;2
6/01/2018 12:34:29 p. m.;2
6/01/2018 12:35:49 p. m.;1
6/01/2018 12:35:52 p. m.;1
6/01/2018 12:36:46 p. m.;1
6/01/2018 12:38:48 p. m.;1
6/01/2018 12:40:32 p. m.;1
6/01/2018 12:41:52 p. m.;3
6/01/2018 12:43:00 p. m.;1
6/01/2018 12:43:40 p. m.;1
6/01/2018 12:44:34 p. m.;2
6/01/2018 1:13:37 p. m.;1
6/01/2018 1:13:39 p. m.;1
6/01/2018 1:13:39 p. m.;1
6/01/2018 1:13:40 p. m.;1
6/01/2018 1:14:41 p. m.;1
6/01/2018 1:15:19 p. m.;1
6/01/2018 1:19:06 p. m.;1
6/01/2018 1:19:10 p. m.;1
6/01/2018 1:21:33 p. m.;2
6/01/2018 1:23:34 p. m.;2
6/01/2018 1:41:58 p. m.;1
6/01/2018 1:41:58 p. m.;1
6/01/2018 1:42:24 p. m.;1
6/01/2018 1:57:36 p. m.;1
6/01/2018 1:57:39 p. m.;1
6/01/2018 1:58:05 p. m.;1
6/01/2018 1:58:35 p. m.;1
6/01/2018 1:59:57 p. m.;3
6/01/2018 2:01:27 p. m.;1
6/01/2018 2:04:16 p. m.;1
6/01/2018 2:04:17 p. m.;1
6/01/2018 2:04:29 p. m.;1
6/01/2018 2:05:55 p. m.;1
6/01/2018 2:05:57 p. m.;1
6/01/2018 2:05:58 p. m.;1
6/01/2018 2:05:59 p. m.;1
6/01/2018 2:06:41 p. m.;3
6/01/2018 2:09:03 p. m.;2
6/01/2018 2:12:06 p. m.;1
6/01/2018 2:12:07 p. m.;1
6/01/2018 2:12:45 p. m.;1
6/01/2018 2:12:46 p. m.;1
6/01/2018 2:28:38 p. m.;1
6/01/2018 2:29:11 p. m.;1
6/01/2018 2:29:11 p. m.;1
6/01/2018 2:29:13 p. m.;1
6/01/2018 2:29:49 p. m.;1
6/01/2018 2:30:05 p. m.;1
6/01/2018 2:30:27 p. m.;1
6/01/2018 2:44:40 p. m.;2
6/01/2018 2:50:09 p. m.;1
6/01/2018 2:56:39 p. m.;2
6/01/2018 2:57:43 p. m.;1
6/01/2018 3:00:44 p. m.;1
6/01/2018 3:01:02 p. m.;1
6/01/2018 3:01:15 p. m.;1
6/01/2018 3:04:46 p. m.;-1
6/01/2018 3:04:46 p. m.;-1
6/01/2018 3:04:46 p. m.;-1
6/01/2018 3:13:22 p. m.;1
6/01/2018 3:13:25 p. m.;1
6/01/2018 3:23:10 p. m.;1
6/01/2018 3:23:11 p. m.;1
6/01/2018 4:09:42 p. m.;1
7/01/2018 8:29:54 a. m.;1
7/01/2018 8:29:54 a. m.;1
7/01/2018 8:30:10 a. m.;1
7/01/2018 8:32:23 a. m.;1
7/01/2018 8:32:51 a. m.;1
7/01/2018 8:33:29 a. m.;1
7/01/2018 8:34:09 a. m.;1
7/01/2018 8:34:20 a. m.;1
7/01/2018 8:34:51 a. m.;1
7/01/2018 8:49:00 a. m.;1
7/01/2018 8:50:40 a. m.;1
7/01/2018 8:50:41 a. m.;1
7/01/2018 8:50:52 a. m.;1
7/01/2018 8:51:13 a. m.;1
7/01/2018 8:51:18 a. m.;1
7/01/2018 8:51:53 a. m.;1
7/01/2018 8:52:25 a. m.;1
7/01/2018 8:53:33 a. m.;1
7/01/2018 8:53:43 a. m.;1
7/01/2018 8:55:53 a. m.;1
7/01/2018 8:56:09 a. m.;1
7/01/2018 8:56:36 a. m.;1
7/01/2018 8:58:00 a. m.;1
7/01/2018 8:58:00 a. m.;1
7/01/2018 8:58:01 a. m.;1
7/01/2018 8:59:23 a. m.;1
7/01/2018 8:59:39 a. m.;1
7/01/2018 8:59:40 a. m.;1
7/01/2018 9:03:17 a. m.;1
7/01/2018 9:03:36 a. m.;1
7/01/2018 9:05:24 a. m.;1
7/01/2018 9:06:36 a. m.;1
7/01/2018 9:07:15 a. m.;2
7/01/2018 9:08:51 a. m.;1
7/01/2018 9:08:52 a. m.;1
7/01/2018 9:08:54 a. m.;1
7/01/2018 9:08:55 a. m.;1
7/01/2018 9:10:13 a. m.;1
7/01/2018 9:10:14 a. m.;1
7/01/2018 9:10:15 a. m.;1
7/01/2018 9:11:40 a. m.;1
7/01/2018 9:12:24 a. m.;1
7/01/2018 9:12:37 a. m.;1
7/01/2018 9:13:15 a. m.;1
7/01/2018 9:15:30 a. m.;2
7/01/2018 9:17:16 a. m.;1
7/01/2018 9:17:55 a. m.;1
7/01/2018 9:18:42 a. m.;1
7/01/2018 9:18:42 a. m.;1
7/01/2018 9:19:05 a. m.;1
